책이름,저자,출판사,출간일,가격
소녀는 따로 자란다,안담,위즈덤하우스,2023년 12월,"11,700"
탄금,장다혜,북레시피,2021년 02월,"15,300"
재수사 2,장강명,은행나무,2022년 08월,"14,400"
너는 내 목소리를 닮았어,김서해,자이언트북스,2023년 07월,"11,520"
축복을 비는 마음,김혜진,문학과지성사,2023년 11월,"14,400"
늙지 않기에 힘든 우리,정시화,하움출판사,2023년 05월,"14,400"
태백산맥 세트,조정래,해냄,2020년 10월,"157,500"
춘향전,백범영,민음사,2004년 04월,"10,800"
크리스마스 타일,김금희,창비,2022년 11월,"13,500"
문신 1,윤흥길,문학동네,2018년 12월,"14,850"
봄봄/미스터 방 외,전도현,서연비람,2018년 07월,"10,800"
가시고기,조창인,산지,2024년 02월,"15,300"
[작가만남] 『아주 희미한 빛으로도』 최은영 소설가 북토크 티켓 with 요조 작가 (1인 입장권),최은영,문학동네,0001년 01월,"5,000"
제인의 마법 살롱,박승희,허블,2023년 10월,"15,120"
원미동 시인,양귀자,사피엔스21,2012년 02월,"7,200"
계속해보겠습니다,황정은,창비,2014년 10월,"12,150"
프리즘,손원평,은행나무,2020년 09월,"12,150"
기억을 먹는 아이,도대체,유유히,2024년 02월,"15,300"
사랑 후에 오는 것들 다이어리 세트,공지영,소담출판사,2005년 12월,"21,600"
사랑 후에 오는 것들,공지영,소담출판사,2005년 12월,"10,800"
학폭교사 위광조,꿈몽글,파람북,2023년 12월,"15,300"
무진기행,김승옥,문학동네,2004년 10월,"11,700"
재수사 1,장강명,은행나무,2022년 08월,"14,400"
똑같은 얼굴,조규미,사계절,2023년 02월,"9,900"
작은 빛을 따라서,권여름,자이언트북스,2023년 10월,"14,220"
서른의 반격,손원평,은행나무,2023년 06월,"11,250"
거인의 꿈,최영태,역바연,2024년 01월,"19,800"
한밤의 시간표,정보라,퍼플레인(갈매나무),2023년 06월,"14,220"
여름이 죽었다,한지원,하움출판사,2020년 08월,"7,200"
『분실물이 돌아왔습니다』 김혜정 작가 북토크 with 유지혜 작가 (1인 입장권) ,김혜정,밀리의서재,2024년 03월,"5,000"
문신 5,윤흥길,문학동네,2024년 03월,"14,850"
소심한 사람들만 남았다,김이환,북다,2023년 06월,"12,600"
천년의 금서,김진명,새움,2023년 01월,"13,950"
아버지에게 갔었어,신경숙,창비,2021년 03월,"12,600"
사람의 아들,이문열,알에이치코리아(RHK),2020년 04월,"14,400"
생의 이면,이승우,문이당,2013년 01월,"11,700"
디 에센셜 한강,한강,문학동네,2023년 06월,"15,300"
어떤 진심 ,안보윤,현대문학,2022년 12월,"13,500"
연적,김호연,나무옆의자,2015년 10월,"11,700"
문신 4,윤흥길,문학동네,2024년 03월,"14,850"
태백산맥 1,조정래,해냄,2020년 10월,"15,750"
동백꽃,김유정,문학과지성사,2005년 04월,"11,700"
마당 깊은 집,김원일,문학과지성사,2018년 09월,"14,400"
검은 꽃,김영하,문학동네,2020년 10월,"13,500"
GV 빌런 고태경,정대건,은행나무,2020년 04월,"12,150"
녹슨달,하지은,달다,2023년 02월,"16,200"
그러나 누군가는 더 검은 밤을 원한다,우다영,문학과지성사,2023년 12월,"14,400"
전지적 독자 시점 양장본 세트 1,싱숑,비채,2022년 09월,"106,650"
무궁화꽃이 피었습니다 2,김진명,이타북스,2023년 04월,"15,120"
문신 2,윤흥길,문학동네,2018년 12월,"14,850"
무궁화꽃이 피었습니다 1,김진명,이타북스,2023년 04월,"15,120"
나보다 어렸던 엄마에게,정진영,무블출판사,2021년 07월,"12,600"
지 알고 내 알고 하늘이 알건만,박완서,사피엔스21,2013년 09월,"7,650"
레몬,권여선,창비,2019년 04월,"14,400"
물로 씌어진 이름 1,복거일,백년동안,2023년 07월,"18,000"
엘리베이터에 낀 그 남자는 어떻게 되었나,김영하,복복서가,2020년 07월,"9,000"
네가 있는 요일,박소영,창비,2023년 09월,"14,400"
시차와 시대착오,전하영,문학동네,2024년 02월,"15,300"
너와 나의 여름이 닿을 때,봄비눈,소담출판사,2023년 07월,"12,600"
마음에 없는 소리,김지연,문학동네,2022년 03월,"13,050"
트렁크,김려령,창비,2015년 05월,"12,600"
문신 3,윤흥길,문학동네,2018년 12월,"14,850"
김유정 소설집,김유정,피치마켓,2018년 08월,"13,500"
하이라이프,김사과,창비,2024년 03월,"13,500"
바르도 1,리민,무하유,2023년 08월,"17,100"
어느 날 내가 죽었습니다,이경혜,바람북스,2021년 03월,"11,520"
태평천하,채만식,문학과지성사,2005년 01월,"8,100"
믿음에 대하여,박상영,문학동네,2022년 07월,"13,050"
살인자의 쇼핑몰 1~2 세트,강지영,자음과모음,2024년 03월,"25,740"
산산조각,정호승,시공사,2022년 04월,"14,400"
셜록의 아류,최윤석,네오픽션,2024년 03월,"15,300"
고구려 1부 : 땅을 다지다 세트,김진명,이타북스,2021년 06월,"98,100"
초록은 어디에나,임선우,자음과모음,2023년 09월,"11,700"
2023 신춘문예당선 소설집,한국소설가협회,한국소설가협회,2023년 01월,"17,100"
그 여자네 집,박완서,문학동네,2006년 08월,"12,600"
광개토태왕 담덕 8,엄광용,새움,2024년 03월,"15,120"
프라이스 킹!!!,김홍,문학동네,2024년 02월,"13,500"
토지 3,박경리,다산책방,2023년 06월,"15,300"
그리고 봄,조선희,한겨레출판,2023년 10월,"15,120"
구원의 날,정해연,시공사,2023년 08월,"14,220"
6교시 인성 영역,김송은,스피리투스,2024년 01월,"14,220"
최소한의 최선,문진영,문학동네,2023년 10월,"14,400"
길모퉁이에서 만난 사람,양귀자,쓰다,2015년 02월,"10,800"
가시고백,김려령,비룡소,2012년 02월,"11,700"
토지 4,박경리,다산책방,2023년 06월,"15,300"
공방의 계절,연소민,모요사,2023년 03월,"14,400"
2022 제13회 젊은작가상 수상작품집,임솔아,문학동네,2022년 04월,"12,600"
오즈의 마법사,L. 프랭크 바움,인디고(글담),2018년 01월,"13,320"
장미의 이름은 장미,은희경,문학동네,2022년 01월,"13,500"
"몰라도 되는 마음, 땅속의 귀신들도 이미, 여름의 봄",김여진,파도,2022년 12월,"11,700"
2022 김승옥문학상 수상작품집,편혜영,문학동네,2022년 09월,"9,000"
"여름, 어디선가 시체가",박연선,놀,2016년 07월,"12,420"
선택의 날,정해연,시공사,2023년 08월,"14,220"
옥상에서 만나요,정세랑,창비,2018년 11월,"13,500"
이것이 남자의 세상이다,천명관,예담,2016년 10월,"11,700"
개의 설계사,단요,아작,2023년 06월,"15,120"
"바람이 분다, 가라",한강,문학과지성사,2010년 02월,"12,600"
그걸 왜 이제 얘기해,봉부아,자상한시간,2023년 12월,"15,120"
노량,박은우,고즈넉이엔티,2023년 11월,"15,300"
