책이름,저자,가격
인간 vs. AI 정규표현식 문제 풀이 대결,"데이비드 머츠 지음, 김모세 옮김 | 제이펍","19,800"
진짜 하루만에 끝내는 AI 활용,김연지 지음 | T.W.I.G(티더블유아이지)(주),"21,420"
"GPT-4, ChatGPT, 라마인덱스, 랭체인을 활용한 인공지능 프로그래밍","후루카와 히데카즈 지음, 트랜스메이트 옮김 | 위키북스","25,200"
만들면서 배우는 생성 AI,"데이비드 포스터 지음, 박해선 옮김 | 한빛미디어","35,100"
"생성형 AI 빅3 챗GPT, 미드저니, 스테이블 디퓨전",이용태 지음 | 책바세,"28,800"
개발자의 하루를 바꾸는 코파일럿 & 챗GPT,"마이클 D. 캘러핸 지음, 정원창 옮김 | 한빛미디어","19,800"
만들면서 배우는 나만의 인공지능 서비스,최은석 지음 | 위키북스,"25,200"
챗GPT와 데이터 분석 with 코드 인터프리터,김철수 지음 | 위키북스,"16,200"
맛있는 디자인 포토샵 & 일러스트레이터 CC 2023,빨간고래(박정아).윤이사라(포완카) 지음 | 한빛미디어,"20,700"
진짜 쓰는 프리미어 프로 영상 편집,조블리(조애리) 지음 | 제이펍,"21,600"
맛있는 디자인 포토샵 CC 2023,윤이사라.김신애 지음 | 한빛미디어,"19,800"
혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) 지음 | 한빛미디어,"19,800"
방구석 미술학원 with 프로크리에이트,Doki(두경훈) 지음 | 길벗,"25,200"
회사에서 바로 통하는 오토캐드 AutoCAD 2024,심미현 지음 | 한빛미디어,"26,100"
국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는 승인율 99.9% 이모티콘 만들기,씨엠제이(최민정) 지음 | 한빛미디어,"13,500"
맛있는 디자인 프리미어 프로 CC 2023,심수진.윤성우.김덕영 지음 | 한빛미디어,"22,500"
비됴클래스의 유튜브 영상 편집 with 프리미어 프로,하지원(비됴클래스) 지음 | 한빛미디어,"20,700"
된다! 7일 베가스 프로 영상 편집,김나옹 지음 | 이지스퍼블리싱,"22,500"
쓱 하고 싹 배우는 유튜브 & 영상 편집 2nd Edition,김혜진 지음 | 영진.com(영진닷컴),"10,800"
성공하는 유튜브 채널은 따로 있다,강차분PD 지음 | 한빛미디어,"16,200"
이모티콘으로 돈 벌기,김영삼 지음 | 한빛미디어,"15,300"
카카오 이모티콘으로 돈 벌기,하트쿵프렌즈 지음 | 길벗,"13,500"
가장 쉬운 이모티콘 만들기,정수진 지음 | 정보문화사,"19,800"
상상을 실현하는 로블록스 게임 만들기,강태훈.장준하.D.LAB 지음 | 한빛미디어,"19,800"
수수한 아이패드 드로잉,수수진 지음 | 영진.com(영진닷컴),"15,300"
나만의 아이패드 드로잉,달콩(서은숙) 지음 | 혜지원,"20,700"
친절한 컬러링,박리노 지음 | 아이생각(디지털북스),"18,000"
친절한 빛과 색,박리노 지음 | 아이생각(디지털북스),"18,000"
하루 한 장 아이패드 드로잉,보담(김보람) 지음 | 비타북스,"15,120"
다이나믹 드로잉,박리노 지음 | 아이생각(디지털북스),"18,000"
프로크리에이트로 시작하는 아이패드 드로잉,수지(허수정) 지음 | 책밥,"21,600"
친절한 드로잉,박리노 지음 | 아이생각(디지털북스),"18,000"
